zdaid;zdaversion;zdacreated;zdachanged;zdaname;zdaxepsg2154;zdayepsg2154;zdcid;zdapostalregion;zdatown;zdatype
470519;1090150-1113509;2019-03-06T00:00:00+00:00;2021-10-22T19:43:22+00:00;Gare de l'Est;653083;6864473;71359;75110;Paris 10e;railStation
47967;47967-61850;2014-12-29T15:31:51+00:00;2021-10-22T10:59:57+00:00;Vosves;670414;6823945;61850;77152;Dammarie-les-Lys;railStation
46375;1100709-1100710;2014-12-29T00:00:00+00:00;2021-10-22T10:59:55+00:00;Vitry-sur-Seine;656126;6855744;70313;94081;Vitry-sur-Seine;railStation
43225;1110009-1106569;2014-12-29T00:00:00+00:00;2021-10-22T10:59:51+00:00;Viry-Châtillon;654868;6841925;60981;91687;Viry-Châtillon;railStation
47522;47522-67072;2014-12-29T15:31:51+00:00;2021-10-22T10:59:33+00:00;Villaines;652550;6886797;67072;95660;Villaines-sous-Bois;railStation
47187;1100033-1549499;2014-12-29T00:00:00+00:00;2021-10-22T10:59:24+00:00;Verneuil-l'Étang;687113;6838260;62471;77493;Verneuil-l'Étang;railStation
43211;1119868-1119869;2014-12-29T00:00:00+00:00;2021-10-22T10:59:17+00:00;Vaires - Torcy;673426;6863966;68419;77479;Vaires-sur-Marne;railStation
46926;1099752-1099751;2014-12-29T00:00:00+00:00;2021-10-22T10:59:15+00:00;Triel-sur-Seine;627221;6876178;463843;78624;Triel-sur-Seine;railStation
46902;1119866-1119867;2014-12-29T00:00:00+00:00;2021-10-22T10:59:10+00:00;Thun le Paradis;620926;6879070;66334;78401;Meulan-en-Yvelines;railStation
47951;1099291-1099292;2014-12-29T00:00:00+00:00;2021-10-22T10:58:59+00:00;Seugy;656173;6891202;67180;95594;Seugy;railStation
43190;1119847-1119848;2014-12-29T00:00:00+00:00;2021-10-22T10:58:53+00:00;Sarcelles - Saint-Brice;653802;6877549;66079;95539;Saint-Brice-sous-Forêt;railStation
42356;1119929-1119930;2014-12-29T00:00:00+00:00;2021-10-22T10:58:24+00:00;Rosny Bois Perrier;661951;6864854;426280;93064;Rosny-sous-Bois;railStation
58498;58498-73798;2014-12-29T15:31:51+00:00;2021-10-22T10:58:23+00:00;Rosa Parks;654083;6866454;73798;75119;Paris 19e;railStation
427870;1097346-1097298;2018-02-22T00:00:00+00:00;2021-10-22T10:53:30+00:00;Rambouillet;613968;6838821;60665;78517;Rambouillet;railStation
45812;1119823-1119824;2014-12-29T00:00:00+00:00;2021-10-22T10:53:22+00:00;Ponthierry - Pringy;666374;6826191;61976;77407;Saint-Fargeau-Ponthierry;railStation
47595;47595-66952;2014-12-29T15:31:51+00:00;2021-10-22T10:53:22+00:00;Pont Petit;636507;6884906;66952;95572;Saint-Ouen-l'Aumône;railStation
47907;1119821-1754054;2014-12-29T00:00:00+00:00;2021-10-22T10:53:19+00:00;Pont de Rungis Aéroport d'Orly;653915;6849986;69677;94073;Thiais;railStation
