zdaid;zdaversion;zdacreated;zdachanged;zdaname;zdaxepsg2154;zdayepsg2154;zdcid;zdapostalregion;zdatown;zdatype
47885;1119817-1119818;2014-12-29T00:00:00+00:00;2021-10-22T10:53:15+00:00;Plaisir - Grignon;622449;6859615;64199;78490;Plaisir;railStation
43165;1098498-1098499;2014-12-29T00:00:00+00:00;2021-10-22T10:52:33+00:00;Monnerville;628320;6805799;59429;91414;Monnerville;railStation
46886;1106635-1106634;2014-12-29T00:00:00+00:00;2021-10-22T10:52:23+00:00;Maule;616214;6868310;64674;78380;Maule;railStation
43247;1106611-1106612;2014-12-29T00:00:00+00:00;2021-10-22T10:52:19+00:00;Marles-en-Brie;690351;6848307;67604;77229;La Houssaye-en-Brie;railStation
47528;1098249-1098250;2014-12-29T00:00:00+00:00;2021-10-22T10:52:08+00:00;Luzarches;657659;6890965;67177;95352;Luzarches;railStation
47914;1098230-1098231;2014-12-29T00:00:00+00:00;2021-10-22T10:52:05+00:00;Longueville;718472;6823756;61858;77260;Longueville;railStation
46298;46298-69662;2014-12-29T15:31:51+00:00;2021-10-22T10:51:55+00:00;Les Saules;657165;6849611;69662;94054;Orly;railStation
43246;1095748-1095749;2014-12-29T00:00:00+00:00;2021-10-22T10:51:25+00:00;La Ferté-sous-Jouarre;709133;6872320;68918;77183;La Ferté-sous-Jouarre;railStation
43083;1094862-1094874;2014-12-29T00:00:00+00:00;2021-10-22T10:51:09+00:00;Igny;643437;6849245;63352;91312;Igny;railStation
43082;1270247-1270248;2014-12-29T00:00:00+00:00;2021-10-22T10:51:08+00:00;Houilles - Carrières-sur-Seine;640287;6869237;64741;78311;Houilles;railStation
47935;1094481-1094482;2014-12-29T00:00:00+00:00;2021-10-22T10:51:05+00:00;Houdan;597319;6856013;63893;78310;Houdan;railStation
47603;1094425-1094427;2014-12-29T00:00:00+00:00;2021-10-22T10:51:03+00:00;Herblay;638688;6877015;65897;95306;Herblay;railStation
47903;1091870-1091871;2014-12-29T00:00:00+00:00;2021-10-22T10:40:44+00:00;Garancières - La Queue;609276;6857420;64025;78265;Garancières;railStation
45745;1337829-1337830;2014-12-29T00:00:00+00:00;2021-10-22T10:40:12+00:00;Évry - Val de Seine;659642;6837274;60522;91228;Evry-Courcouronnes;railStation
45759;45759-761419;2014-12-29T15:31:51+00:00;2021-10-22T10:39:56+00:00;Essonnes Robinson;660430;6834092;422776;91174;Corbeil-Essonnes;railStation
43075;1086445-1086076;2014-12-29T00:00:00+00:00;2021-10-22T10:39:40+00:00;Enghien-les-Bains;649251;6874993;65485;95210;Enghien-les-Bains;railStation
43122;1088421-1088378;2014-12-29T00:00:00+00:00;2021-10-22T10:39:33+00:00;Drancy;660061;6870444;72652;93029;Drancy;railStation
43117;1091052-1091401;2014-12-29T00:00:00+00:00;2021-10-22T10:39:19+00:00;Coulommiers;705968;6856446;67920;77131;Coulommiers;railStation
43110;1091008-1090930;2014-12-29T00:00:00+00:00;2021-10-22T10:39:05+00:00;Choisy-le-Roi;656727;6851692;69852;94022;Choisy-le-Roi;railStation
43107;1088970-1088994;2014-12-29T00:00:00+00:00;2021-10-22T10:38:54+00:00;Chartrettes;677482;6820794;61763;77096;Chartrettes;railStation
47174;47174-841014;2014-12-29T15:31:51+00:00;2021-10-22T10:38:50+00:00;Champbenoist Poigny;721156;6827258;62064;77368;Poigny;railStation
47590;1088858-1088856;2014-12-29T00:00:00+00:00;2021-10-22T10:38:48+00:00;Champagne-sur-Oise;644754;6893187;67241;95134;Champagne-sur-Oise;railStation
47927;1243160-1244781;2014-12-29T00:00:00+00:00;2021-10-22T10:38:46+00:00;Gare de Chamarande;642035;6824044;59734;91132;Chamarande;railStation
47895;1088152-1549387;2014-12-29T00:00:00+00:00;2021-10-22T10:38:26+00:00;Boutigny;653899;6815087;59565;91099;Boutigny-sur-Essonne;railStation
47905;47905-59830;2014-12-29T15:31:51+00:00;2021-10-22T10:38:21+00:00;Bouray;647587;6826087;59830;91330;Lardy;railStation
45453;45453-1108637;2014-12-29T15:31:51+00:00;2021-10-22T10:38:19+00:00;Boulainvilliers;646791;6862127;71229;75116;Paris 16e;railStation
45763;1087774-1087787;2014-12-29T00:00:00+00:00;2021-10-22T10:38:10+00:00;Boissise-le-Roi;668384;6825599;61943;77040;Boissise-le-Roi;railStation
43090;1087184-1087194;2014-12-29T00:00:00+00:00;2021-10-22T10:38:03+00:00;Bessancourt;642256;6881998;66672;95060;Bessancourt;railStation
43068;1085371-1208866;2014-12-29T00:00:00+00:00;2021-10-22T10:37:33+00:00;Arpajon;644037;6832023;60072;91021;Arpajon;railStation
411479;1119622-1119623;2015-01-26T00:00:00+00:00;2019-05-21T17:22:12+00:00;Laroche - Migennes;738263;6762423;411480;89257;Migennes;railStation
411476;1085943-1085929;2015-01-26T00:00:00+00:00;2019-04-24T10:43:07+00:00;Villeneuve-sur-Yonne;721333;6776131;411477;89464;Villeneuve-sur-Yonne;railStation
411464;1085964-1085965;2015-01-26T00:00:00+00:00;2019-04-24T10:43:06+00:00;Villeneuve-la-Guyard;705336;6804703;411465;89460;Villeneuve-la-Guyard;railStation
47957;1099285-1099286;2014-12-29T00:00:00+00:00;2019-04-24T10:43:02+00:00;Saint-Siméon;715324;6855531;67886;77436;Saint-Siméon;railStation
411507;1088962-1088845;2015-01-26T00:00:00+00:00;2019-04-24T10:42:32+00:00;Chartres;587644;6817512;411508;28085;Chartres;railStation
59049;59049-74138;2014-12-29T15:31:51+00:00;2019-04-24T10:42:26+00:00;Auneau;609754;6816816;74138;28317;Roinville;railStation
411418;1836591-1836590;2015-01-26T15:06:38+00:00;2026-09-07T16:08:50+00:00;La Borne Blanche;664013;6891934;411419;60482;Orry-la-Ville;railStation
411338;1835241-1099729;2015-01-26T00:00:00+00:00;2026-08-25T09:34:22+00:00;Trie-Château;614020;6909840;411339;60644;Trie-Château;railStation
59301;1835240-1092368;2014-12-29T00:00:00+00:00;2026-08-25T09:28:22+00:00;Gisors;611571;6910222;74348;27284;Gisors;railStation
411326;1835235-1097251;2015-01-26T00:00:00+00:00;2026-08-25T09:17:27+00:00;Précy-sur-Oise;654617;6900596;411327;60513;Précy-sur-Oise;railStation
411329;1835234-1098744;2015-01-26T00:00:00+00:00;2026-08-25T09:16:39+00:00;Saint-Leu-d'Esserent;657522;6901722;411330;60584;Saint-Leu-d'Esserent;railStation
411390;1835232-1106590;2015-01-26T00:00:00+00:00;2026-08-25T09:10:17+00:00;Nanteuil-le-Haudouin;684980;6893656;411391;60446;Nanteuil-le-Haudouin;railStation
411375;1835226-1106609;2015-01-26T00:00:00+00:00;2026-08-25T09:05:28+00:00;Mareuil-sur-Ourcq;705510;6892846;411376;60380;Mareuil-sur-Ourcq;railStation
45102;1782229-1782252;2014-12-29T00:00:00+00:00;2026-04-01T09:58:47+00:00;Châtelet - Les Halles;652090;6862610;474151;75101;Paris 1er;railStation
46689;1802209-1802210;2014-12-29T00:00:00+00:00;2026-05-29T09:30:59+00:00;Viroflay - Rive Droite;638868;6856477;422420;78686;Viroflay;railStation
422065;1801054-999517;2016-10-25T00:00:00+00:00;2026-05-20T09:21:26+00:00;Le Val d'Or;642516;6862086;422067;92064;Saint-Cloud;railStation
470549;1801046-1327660;2019-03-06T00:00:00+00:00;2026-05-20T09:17:39+00:00;La Défense;644159;6866071;71517;92062;Puteaux;railStation
47880;1801045-1095560;2014-12-29T00:00:00+00:00;2026-05-20T09:17:11+00:00;La Celle-Saint-Cloud;636753;6860631;64251;78126;La Celle-Saint-Cloud;railStation
47770;1801043-1091900;2014-12-29T00:00:00+00:00;2026-05-20T09:16:50+00:00;Garches - Marnes-la-Coquette;640334;6860107;70713;92033;Garches;railStation
43152;1105578-1105587;2014-12-29T00:00:00+00:00;2026-03-12T14:34:22+00:00;Lognes;673064;6859974;68123;77258;Lognes;railStation
47327;1119566-1119567;2014-12-29T00:00:00+00:00;2026-02-09T14:58:48+00:00;Couilly - Saint-Germain - Quincy;689302;6864753;68505;77413;Saint-Germain-sur-Morin;railStation
47894;1091451-1091402;2014-12-29T00:00:00+00:00;2026-02-09T14:58:48+00:00;Crécy-la-Chapelle;693062;6862173;68293;77142;Crécy-la-Chapelle;railStation
43166;1119744-1119745;2014-12-29T00:00:00+00:00;2024-09-01T12:50:22+00:00;Montigny - Beauchamp;641217;6878947;66335;95488;Pierrelaye;railStation
470540;1604482-1806054;2019-03-06T00:00:00+00:00;2024-08-09T13:35:56+00:00;Invalides;649573;6862739;71274;75107;Paris 7e;railStation
473873;1497342-1497340;2019-03-26T00:00:00+00:00;2024-07-25T09:04:29+00:00;Aéroport d’Orly (Terminal 4);653524;6847804;63278;91479;Paray-Vieille-Poste;railStation
462394;1590890-1180723;2018-09-25T00:00:00+00:00;2024-07-09T07:20:12+00:00;Gare du Nord;652822;6864890;71410;75110;Paris 10e;railStation
47482;1570783-1119770;2014-12-29T00:00:00+00:00;2024-05-14T06:45:31+00:00;Nanteuil - Saâcy;716063;6874917;69072;77397;Saâcy-sur-Marne;railStation
58873;1570773-1085193;2014-12-29T00:00:00+00:00;2024-05-14T06:39:54+00:00;Brunoy;663706;6844421;67476;91114;Brunoy;railStation
43092;1570772-1087602;2014-12-29T00:00:00+00:00;2024-05-14T06:39:09+00:00;Boigneville;653956;6804725;59420;91069;Boigneville;railStation
462388;1570771-63923;2018-09-25T00:00:00+00:00;2024-05-14T06:38:25+00:00;Viroflay Rive Gauche;639151;6855940;63923;78686;Viroflay;railStation
47009;1105523-1105404;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Palaiseau;644498;6846568;63175;91477;Palaiseau;railStation
46007;1375630-1375629;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;La Croix de Berny;648855;6851515;69813;92002;Antony;railStation
58270;58270-73042;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Champigny;664052;6856416;73042;94068;Saint-Maur-des-Fossés;railStation
44199;1105643-1105642;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Noisiel;671866;6860453;68153;77337;Noisiel;railStation
43135;1105548-1105549;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Joinville-le-Pont;660636;6858037;70640;94042;Joinville-le-Pont;railStation
43101;1105536-1105537;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Bry-sur-Marne;665189;6860670;73166;94015;Bry-sur-Marne;railStation
43207;1105773-1105774;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Torcy;674690;6860017;68129;77468;Torcy;railStation
44801;1365030-1365031;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Saint-Maur - Créteil;661288;6856365;70393;94068;Saint-Maur-des-Fossés;railStation
43833;43833-71161;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Luxembourg;651549;6860800;71161;75105;Paris 5e;railStation
43126;1119602-1119603;2014-12-29T00:00:00+00:00;2023-09-05T08:43:08+00:00;Franconville - Le Plessis-Bouchard;643958;6877363;66005;95252;Franconville;railStation
47944;1119794-1119795;2014-12-29T00:00:00+00:00;2023-08-29T16:22:24+00:00;Nézel - Aulnay;615054;6871607;64945;78451;Nézel;railStation
44314;1179883-1331967;2014-12-29T00:00:00+00:00;2022-10-13T17:46:55+00:00;Péreire Levallois;648611;6865340;71453;75117;Paris 17e;railStation
43116;1091361-1091362;2014-12-29T00:00:00+00:00;2022-02-16T10:23:18+00:00;Cormeilles-en-Parisis;640919;6874601;65399;95176;Cormeilles-en-Parisis;railStation
45739;1095455-1183471;2014-12-29T00:00:00+00:00;2022-01-24T16:02:25+00:00;Juvisy;654608;6843461;478505;91326;Juvisy-sur-Orge;railStation
44628;1098281-1274418;2014-12-29T00:00:00+00:00;2022-01-19T15:38:50+00:00;Louvres;663581;6883388;69300;95351;Louvres;railStation
43221;1119878-1119879;2014-12-29T00:00:00+00:00;2021-10-22T10:59:41+00:00;Villepreux - Les Clayes;626053;6858650;64145;78165;Les Clayes-sous-Bois;railStation
46307;1100343-1100344;2014-12-29T00:00:00+00:00;2021-10-22T10:59:36+00:00;Villeneuve-le-Roi;657820;6848994;69625;94077;Villeneuve-le-Roi;railStation
47525;1100265-1100266;2014-12-29T00:00:00+00:00;2021-10-22T10:59:31+00:00;Viarmes;653877;6890942;67176;95652;Viarmes;railStation
43218;43218-61450;2014-12-29T15:31:51+00:00;2021-10-22T10:59:25+00:00;Vernou-sur-Seine;688313;6809609;61450;77494;Vernou-la-Celle-sur-Seine;railStation
43214;1119870-1119871;2014-12-29T00:00:00+00:00;2021-10-22T10:59:20+00:00;Vanves - Malakoff;648012;6857813;70584;92075;Vanves;railStation
47960;1119864-1119865;2014-12-29T00:00:00+00:00;2021-10-22T10:59:09+00:00;Thieux - Nantouillet;676607;6878738;69196;77462;Thieux;railStation
47959;1119862-1119863;2014-12-29T00:00:00+00:00;2021-10-22T10:59:07+00:00;Tacoignières - Richebourg;602268;6859630;64194;78605;Tacoignières;railStation
461504;1119841-1119842;2018-04-20T00:00:00+00:00;2021-10-22T10:58:49+00:00;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;629808;6854579;63812;78423;Montigny-le-Bretonneux;railStation
43150;1119837-1119838;2014-12-29T00:00:00+00:00;2021-10-22T10:58:46+00:00;Saint-Ouen-l'Aumône Liesse;636246;6881933;66659;95572;Saint-Ouen-l'Aumône;railStation
47171;841087-841088;2014-12-29T00:00:00+00:00;2021-10-22T10:58:34+00:00;Sainte-Colombe Septveilles;718852;6825465;61961;77404;Sainte-Colombe;railStation
47952;1085636-1085637;2014-12-29T00:00:00+00:00;2021-10-22T10:58:30+00:00;Saint-Chéron;635421;6828214;59882;91540;Saint-Chéron;railStation
44787;44787-69633;2014-12-29T15:31:51+00:00;2021-10-22T10:58:28+00:00;Rungis la Fraternelle;652362;6849095;69633;94065;Rungis;railStation
479059;1187250-1097490;2020-03-02T00:00:00+00:00;2021-10-22T10:58:27+00:00;Rosny-sur-Seine;599741;6878380;66157;78531;Rosny-sur-Seine;railStation
47877;1097475-1097476;2014-12-29T00:00:00+00:00;2021-10-22T10:58:26+00:00;Rosny-sous-Bois;662278;6863461;71935;93064;Rosny-sous-Bois;railStation
46299;1106553-1106551;2014-12-29T00:00:00+00:00;2021-10-22T10:53:05+00:00;Orly Ville;656103;6849223;69639;94054;Orly;railStation
47530;1119783-1119784;2014-12-29T00:00:00+00:00;2021-10-22T10:53:00+00:00;Nointel - Mours;647448;6892799;67227;95452;Nointel;railStation
47130;1119765-1119766;2014-12-29T00:00:00+00:00;2021-10-22T10:52:42+00:00;Moret - Veneux-les-Sablons;685224;6808640;61410;77316;Moret-Loing-et-Orvanne;railStation
47582;1098555-1098556;2014-12-29T00:00:00+00:00;2021-10-22T10:52:29+00:00;Méry-sur-Oise;640902;6884570;66934;95394;Méry-sur-Oise;railStation
47899;1106363-1106367;2014-12-29T00:00:00+00:00;2021-10-22T10:52:28+00:00;Mennecy;658090;6830187;59984;91386;Mennecy;railStation
47909;1106631-1244797;2014-12-29T00:00:00+00:00;2021-10-22T10:52:27+00:00;Melun;674504;6825306;61926;77288;Melun;railStation
43160;43160-65827;2014-12-29T15:31:51+00:00;2021-10-22T10:52:24+00:00;Maurecourt;631176;6876735;65827;78015;Andrésy;railStation
58572;58572-1180686;2014-12-29T15:31:51+00:00;2021-10-22T10:52:08+00:00;Magenta;652967;6864723;478733;75110;Paris 10e;railStation
47486;1098169-1098170;2014-12-29T00:00:00+00:00;2021-10-22T10:52:03+00:00;Lizy-sur-Ourcq;702324;6880203;69237;77257;Lizy-sur-Ourcq;railStation
45804;1098109-1098159;2014-12-29T00:00:00+00:00;2021-10-22T10:52:02+00:00;Livry-sur-Seine;676286;6823386;61826;77255;Livry-sur-Seine;railStation
47669;1119628-1119629;2014-12-29T00:00:00+00:00;2021-10-22T10:52:00+00:00;Lieusaint - Moissy;668274;6836547;62412;77251;Lieusaint;railStation
47881;1097896-1097897;2014-12-29T00:00:00+00:00;2021-10-22T10:51:54+00:00;Les Mureaux;620487;6877509;65994;78440;Les Mureaux;railStation
43230;43230-1097812;2014-12-29T15:31:51+00:00;2021-10-22T10:51:52+00:00;Les Grésillons;649720;6869185;72225;92036;Gennevilliers;railStation
43229;1097782-1097783;2014-12-29T00:00:00+00:00;2021-10-22T10:51:52+00:00;Les Essarts-le-Roi;618322;6847414;63240;78220;Les Essarts-le-Roi;railStation
47901;1119626-1119627;2014-12-29T00:00:00+00:00;2021-10-22T10:51:46+00:00;Le Raincy - Villemomble - Montfermeil;664293;6865536;73297;93077;Villemomble;railStation
45820;45820-60006;2014-12-29T15:31:51+00:00;2021-10-22T10:51:45+00:00;Le Plessis Chenet;661603;6830501;60006;91179;Le Coudray-Montceaux;railStation
45784;1119894-1119895;2014-12-29T00:00:00+00:00;2021-10-22T10:51:42+00:00;Le Mée;672358;6826567;62003;77285;Le Mée-sur-Seine;railStation
45850;1119624-1119625;2014-12-29T00:00:00+00:00;2021-10-22T10:51:39+00:00;Le Bras de Fer;659611;6836042;60422;91228;Evry-Courcouronnes;railStation
43142;1095697-1095713;2014-12-29T00:00:00+00:00;2021-10-22T10:51:24+00:00;La Ferté-Alais;652135;6820778;59661;91047;Baulne;railStation
47145;1094464-1094466;2014-12-29T00:00:00+00:00;2021-10-22T10:51:03+00:00;Héricy;682306;6815854;61658;77226;Héricy;railStation
47205;1092866-1092879;2014-12-29T00:00:00+00:00;2021-10-22T10:50:59+00:00;Guérard - La Celle-sur-Morin;696608;6856745;67924;77219;Guérard;railStation
46482;46482-66063;2014-12-29T15:31:51+00:00;2021-10-22T10:50:57+00:00;Gros Noyer Saint-Prix;645826;6877604;66063;95219;Ermont;railStation
43132;1092818-1092809;2014-12-29T00:00:00+00:00;2021-10-22T10:50:56+00:00;Grigny Centre;655569;6839577;60797;91286;Grigny;railStation
45860;1092506-1092507;2014-12-29T00:00:00+00:00;2021-10-22T10:40:51+00:00;Grand Bourg;658367;6838886;73627;91521;Ris-Orangis;railStation
47580;1274430-1274431;2014-12-29T00:00:00+00:00;2021-10-22T10:40:39+00:00;Frépillon;641302;6883120;66798;95256;Frépillon;railStation
47882;1119580-1119581;2014-12-29T00:00:00+00:00;2021-10-22T10:39:45+00:00;Épône - Mézières;612804;6874374;65326;78217;Épône;railStation
47095;1119890-1244775;2014-12-29T00:00:00+00:00;2021-10-22T10:39:32+00:00;Dourdan la Forêt;625881;6826602;59843;91200;Dourdan;railStation
43121;1085587-1106547;2014-12-29T00:00:00+00:00;2021-10-22T10:39:31+00:00;Dourdan;626820;6826406;59836;91200;Dourdan;railStation
47930;1088844-1088961;2014-12-29T00:00:00+00:00;2021-10-22T10:38:54+00:00;Chars;622455;6896437;67352;95142;Chars;railStation
47124;1119552-1119553;2014-12-29T00:00:00+00:00;2021-10-22T10:38:22+00:00;Bourron-Marlotte - Grez;677164;6803615;61318;77048;Bourron-Marlotte;railStation
45437;45437-1108690;2014-12-29T15:31:51+00:00;2021-10-22T10:37:43+00:00;Avenue Foch;646801;6863558;71321;75116;Paris 16e;railStation
47918;1085497-1085499;2014-12-29T00:00:00+00:00;2021-10-22T10:37:41+00:00;Auvers-sur-Oise;639710;6885925;67027;95039;Auvers-sur-Oise;railStation
47917;1085135-1085141;2014-12-29T00:00:00+00:00;2021-10-22T10:37:30+00:00;Angerville;626139;6801719;59403;91016;Angerville;railStation
46647;1119931-1119932;2014-12-29T00:00:00+00:00;2021-10-22T10:37:21+00:00;Achères Ville;632479;6874916;73604;78005;Achères;railStation
47915;1086379-1086380;2014-12-29T00:00:00+00:00;2021-10-22T10:37:17+00:00;Achères Grand Cormier;633625;6873209;65190;78551;Saint-Germain-en-Laye;railStation
411449;1085531-1085532;2015-01-26T00:00:00+00:00;2019-04-24T10:43:09+00:00;Voves;597771;6798080;411450;28422;Les Villages Vovéens;railStation
59302;1086929-1086881;2014-12-29T00:00:00+00:00;2019-04-24T10:42:47+00:00;Maintenon;596206;6832708;74349;28227;Maintenon;railStation
411365;412186-412188;2015-01-26T15:03:50+00:00;2019-04-24T10:42:38+00:00;Évreux Normandie;564682;6881420;411366;27229;Évreux;railStation
43245;1822265-1822267;2014-12-29T00:00:00+00:00;2026-07-15T14:49:12+00:00;Nemours - Saint-Pierre;676630;6796524;61218;77431;Saint-Pierre-lès-Nemours;railStation
43239;1822258-1822259;2014-12-29T00:00:00+00:00;2026-07-15T14:14:06+00:00;Marne-la-Vallée - Chessy;684044;6863329;68385;77111;Chessy;railStation
43077;1713136-1088672;2014-12-29T00:00:00+00:00;2026-01-08T09:28:12+00:00;Épinay-sur-Seine;648909;6872877;72383;93031;Épinay-sur-Seine;railStation
462357;1615084-1119934;2018-09-25T00:00:00+00:00;2025-12-22T17:21:27+00:00;Issy - Val de Seine;645971;6859191;71016;92040;Issy-les-Moulineaux;railStation
411492;1835299-1088440;2015-01-26T00:00:00+00:00;2026-08-25T13:24:44+00:00;Dreux;580153;6849123;411493;28134;Dreux;railStation
411495;1835298-1119729;2015-01-26T00:00:00+00:00;2026-08-25T13:19:47+00:00;Marchezais - Broué;590757;6853060;411496;28062;Broué;railStation
411342;1835243-1098023;2015-01-26T00:00:00+00:00;2026-08-25T09:35:50+00:00;Liancourt-Saint-Pierre;620254;6902868;411343;60361;Liancourt-Saint-Pierre;railStation
411421;1835238-1119801;2015-01-26T00:00:00+00:00;2026-08-25T09:20:14+00:00;Orry-la-Ville - Coye;662772;6893300;411422;60482;Orry-la-Ville;railStation
411332;1835236-1710787;2015-01-26T00:00:00+00:00;2026-08-25T09:18:03+00:00;Boran-sur-Oise;653484;6896509;411333;60086;Boran-sur-Oise;railStation
411440;1835233-1091456;2015-01-26T00:00:00+00:00;2026-08-25T09:14:37+00:00;Creil;661338;6907300;411441;60175;Creil;railStation
411384;1835228-1119782;2015-01-26T00:00:00+00:00;2026-08-25T09:07:18+00:00;Nogent-L'Artaud - Charly;723637;6874356;411385;02555;Nogent-l'Artaud;railStation
43193;1802173-1802174;2014-12-29T15:31:51+00:00;2026-05-29T08:51:30+00:00;Sevran - Beaudottes;665188;6871997;73491;93071;Sevran;railStation
44602;1801070-64021;2014-12-29T15:31:51+00:00;2026-05-20T09:27:09+00:00;Versailles Rive Droite;636614;6856948;64021;78646;Versailles;railStation
43196;1801065-1097579;2014-12-29T00:00:00+00:00;2026-05-20T09:25:21+00:00;Saint-Cloud;642584;6860952;73749;92064;Saint-Cloud;railStation
43167;1801061-63989;2014-12-29T15:31:51+00:00;2026-05-20T09:24:11+00:00;Montreuil;637780;6856543;63989;78646;Versailles;railStation
47888;1270249-1270250;2014-12-29T00:00:00+00:00;2026-05-11T16:12:09+00:00;Gif-sur-Yvette;636450;6844573;62890;91272;Gif-sur-Yvette;railStation
43231;1741188-1096173;2014-12-29T00:00:00+00:00;2026-02-20T14:10:38+00:00;Le Bourget;657931;6870238;72641;93013;Le Bourget;railStation
415091;634531-1648223;2015-03-26T17:23:05+00:00;2025-04-30T12:06:05+00:00;Pont de l'Alma;648671;6862720;492980;75107;Paris 7e;railStation
47596;1684406-1244784;2014-12-29T00:00:00+00:00;2025-11-06T14:27:22+00:00;Épluches;635872;6884265;66915;95572;Saint-Ouen-l'Aumône;railStation
45873;45873-1185581;2014-12-29T15:31:51+00:00;2024-08-05T22:40:48+00:00;Auber;650830;6863800;478926;75109;Paris 9e;railStation
43178;1570784-1119814;2014-12-29T00:00:00+00:00;2024-05-14T06:46:16+00:00;Persan - Beaumont;647306;6894441;67292;95487;Persan;railStation
43157;1570780-1086153;2014-12-29T00:00:00+00:00;2024-05-14T06:43:55+00:00;Mantes-la-Jolie;605142;6877374;65931;78361;Mantes-la-Jolie;railStation
46477;1570779-65663;2014-12-29T15:31:51+00:00;2024-05-14T06:43:12+00:00;Champ de Courses d'Enghien;648112;6875761;65663;95598;Soisy-sous-Montmorency;railStation
43127;1570777-73266;2014-12-29T15:31:51+00:00;2024-05-14T06:42:04+00:00;Le Chénay Gagny;667198;6864219;73266;93032;Gagny;railStation
412743;1570776-1274434;2017-10-20T00:00:00+00:00;2024-05-14T06:41:35+00:00;Saint-Denis;652048;6870738;72323;93066;Saint-Denis;railStation
43140;1570763-655235;2014-12-29T15:31:51+00:00;2024-05-14T06:32:43+00:00;La Courneuve - Aubervilliers;655015;6869543;72598;93027;La Courneuve;railStation
487011;1568701-1568702;2023-04-20T10:04:40+00:00;2024-05-03T12:03:19+00:00;Nanterre-La-Folie;643296;6866675;488087;92050;Nanterre;railStation
47900;47900-655336;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Val de Fontenay;662508;6861699;71718;94033;Fontenay-sous-Bois;railStation
58874;1085302-1085300;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Bussy-Saint-Georges;678741;6859668;68105;77058;Bussy-Saint-Georges;railStation
58937;1119785-1119786;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Noisy - Champs;669182;6860398;73163;93051;Noisy-le-Grand;railStation
474069;1107763-63029;2019-03-27T00:00:00+00:00;2024-04-11T08:09:37+00:00;Lozère;642068;6845374;63029;91477;Palaiseau;railStation
43175;1119802-1119803;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Palaiseau - Villebon;643881;6845605;63067;91477;Palaiseau;railStation
43177;43177-1208846;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Parc de Sceaux;649283;6852401;69906;92002;Antony;railStation
43125;1105902-1105900;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Fontenay-aux-Roses;648050;6854397;70133;92032;Fontenay-aux-Roses;railStation
45877;1105940-1105938;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Gentilly;651603;6857442;70543;94037;Gentilly;railStation
44500;44500-1804160;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Port Royal;651348;6860205;71106;75105;Paris 5e;railStation
43228;43228-69622;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Les Baconnets;647649;6849094;69622;92002;Antony;railStation
43186;43186-897147;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Robinson;647194;6853590;427230;92071;Sceaux;railStation
43087;1087003-1087004;2014-12-29T00:00:00+00:00;2023-08-29T16:29:35+00:00;Ballancourt;653493;6825827;59825;91045;Ballancourt-sur-Essonne;railStation
46387;1084944-1084945;2014-12-29T00:00:00+00:00;2023-04-21T15:38:16+00:00;Ablon;657327;6847451;69554;94001;Ablon-sur-Seine;railStation
45301;45301-1244771;2014-12-29T15:31:51+00:00;2023-03-03T10:52:21+00:00;Bibliothèque François Mitterrand;654320;6858938;71572;75113;Paris 13e;railStation
43212;43212-1208863;2014-12-29T15:31:51+00:00;2022-02-01T11:11:37+00:00;Val d'Argenteuil;643802;6872572;65110;95018;Argenteuil;railStation
47876;1092265-1092422;2014-12-29T00:00:00+00:00;2022-01-19T15:38:34+00:00;Goussainville;660693;6880524;66535;95280;Goussainville;railStation
47136;1119888-1119889;2014-12-29T00:00:00+00:00;2021-10-22T10:59:59+00:00;Vulaines-sur-Seine - Samoreau;681721;6814493;61630;77533;Vulaines-sur-Seine;railStation
43223;1119886-1119887;2014-12-29T00:00:00+00:00;2021-10-22T10:59:46+00:00;Villiers-sur-Marne - Le Plessis-Trévise;666420;6858229;73097;94079;Villiers-sur-Marne;railStation
46304;46304-69671;2014-12-29T15:31:51+00:00;2021-10-22T10:59:34+00:00;Villeneuve Triage;658726;6849535;69671;94078;Villeneuve-Saint-Georges;railStation
43215;1274425-1274426;2014-12-29T00:00:00+00:00;2021-10-22T10:59:21+00:00;Vauboyen;640644;6851288;63454;91064;Bièvres;railStation
